"Fecha","Confirmados","Descartados","Recuperados","Fallecidos","En estudio","Notificaciones"
"2020-03-14","0","18","0","0","6","24"
"2020-03-15","1","21","0","0","10","32"
"2020-03-16","1","22","0","0","14","37"
"2020-03-17","1","25","0","0","20","46"
"2020-03-18","1","28","0","0","42","71"
"2020-03-19","2","38","0","0","39","79"
"2020-03-20","2","45","0","0","43","90"
"2020-03-21","4","52","0","0","56","112"
"2020-03-22","4","59","0","0","54","117"
"2020-03-23","15","64","0","0","90","169"
"2020-03-24","20","95","0","0","70","185"
"2020-03-25","39","120","0","0","72","231"
"2020-03-26","55","161","0","0","89","305"
"2020-03-27","64","214","0","0","105","383"
"2020-03-28","77","280","0","0","87","444"
"2020-03-29","90","332","0","0","69","491"
"2020-03-30","111","383","0","0","132","626"
"2020-03-31","133","486","0","0","116","735"
"2020-04-01","144","538","0","1","141","823"
"2020-04-02","152","655","0","1","154","961"
"2020-04-03","160","795","0","1","136","1091"
"2020-04-04","165","876","0","1","150","1191"
"2020-04-05","176","996","9","1","79","1251"
"2020-04-06","184","1104","12","1","150","1438"
"2020-04-07","187","1193","13","1","217","1597"
"2020-04-08","189","1403","16","1","155","1747"
"2020-04-09","196","1512","22","2","172","1880"
"2020-04-10","197","1662","22","2","128","1987"
"2020-04-11","200","1736","24","2","171","2107"
"2020-04-12","203","1846","24","2","125","2174"
"2020-04-13","205","1966","25","2","126","2297"
"2020-04-14","207","2073","26","2","147","2427"
"2020-04-15","209","2182","27","2","134","2525"
"2020-04-16","212","2288","31","2","150","2650"
"2020-04-17","218","2430","38","2","138","2786"
"2020-04-18","221","2492","39","2","180","2893"
"2020-04-19","222","2628","89","2","157","3007"
"2020-04-20","224","2793","91","2","162","3179"
"2020-04-21","225","2934","103","2","141","3300"
"2020-04-22","230","3116","111","2","131","3477"
"2020-04-23","236","3284","117","2","136","3656"
"2020-04-24","239","3486","134","2","132","3857"
"2020-04-25","242","3578","136","2","201","4021"
"2020-04-26","242","3745","136","2","85","4072"
"2020-04-27","242","3846","136","2","217","4305"
"2020-04-28","243","4075","136","2","160","4478"
"2020-04-29","243","4230","141","2","155","4628"
"2020-04-30","243","4377","154","2","152","4772"
"2020-05-01","243","4473","170","2","176","4892"
"2020-05-02","243","4590","177","2","127","4960"
"2020-05-03","243","4643","177","2","157","5043"
"2020-05-04","243","4768","179","2","160","5171"
"2020-05-05","244","4885","187","2","166","5295"
"2020-05-06","244","5023","187","2","128","5395"
"2020-05-07","244","5154","187","3","141","5539"
"2020-05-08","244","5272","190","3","131","5647"
"2020-05-09","244","5400","194","3","126","5770"
"2020-05-10","244","5437","194","3","196","5877"
"2020-05-11","244","5608","194","3","179","6031"
"2020-05-12","244","5768","194","3","147","6159"
"2020-05-13","244","5854","197","3","176","6274"
"2020-05-14","244","6007","199","3","183","6434"
"2020-05-15","244","6177","200","3","170","6591"
"2020-05-16","245","6298","204","3","176","6719"
"2020-05-17","245","6338","206","3","225","6808"
"2020-05-18","249","6517","207","3","173","6939"
"2020-05-19","249","6704","211","3","194","7147"
"2020-05-20","251","6921","212","3","216","7388"
"2020-05-21","254","7094","212","3","206","7554"
"2020-05-22","258","7301","213","3","186","7745"
"2020-05-23","258","7354","213","3","292","7904"
"2020-05-24","259","7516","213","3","241","8016"
"2020-05-25","259","7629","215","3","189","8077"
"2020-05-26","260","7762","215","3","204","8226"
"2020-05-27","260","7910","219","3","237","8407"
"2020-05-28","260","8123","221","3","228","8611"
"2020-05-29","260","8349","222","3","195","8804"
"2020-05-30","262","8516","222","3","181","8959"
"2020-05-31","262","8606","224","3","220","9088"
"2020-06-01","265","8775","227","3","189","9229"
"2020-06-02","265","8918","231","3","204","9387"
